condition,ended_time_weekday,ended_time_weekend,seller_country,seller_feedback_pct,seller_feedback_positive,seller_feedback_neutral,seller_feedback_negative,seller_member_duration,num_bidders,bids,duration,hasItemDesc
Used,3,0,United States,100.0,17,0,0,6449,6,8,1,0
Used,4,0,United States,100.0,15,0,0,6204,13,20,7,0
Used,4,0,United States,100.0,1,0,0,5164,10,19,7,1
Used,4,0,United States,100.0,22,0,0,4340,3,9,1,0
Open box,5,1,United Kingdom,100.0,7,0,0,6111,11,17,7,0
Used,6,1,United States,100.0,16,0,0,4803,3,3,7,1
Used,5,1,United States,100.0,5,0,0,5757,6,11,1,0
Open box,0,0,United States,100.0,8,0,0,1167,5,7,7,0
Used,6,1,Germany,100.0,20,0,0,7577,24,36,7,0
Used,2,0,United States,100.0,1,0,0,1545,12,27,7,0
Used,0,0,United States,100.0,3,0,0,6150,18,47,7,0
Used,0,0,United Kingdom,100.0,3,0,0,3142,3,3,7,0
Used,6,1,United Kingdom,98.8,89,1,1,6730,4,13,7,0
Used,6,1,Australia,100.0,4,0,0,5670,8,14,5,0
New,2,0,Germany,100.0,1,0,0,1519,13,35,1,0
New,2,0,United Kingdom,88.9,8,0,1,1675,7,10,5,0
Open box,3,0,United States,100.0,61,0,0,1746,10,18,1,0
New,6,1,United States,100.0,13,0,0,111,21,50,7,0
Used,6,1,United States,100.0,8,0,0,8109,12,20,10,1
Used,4,0,Germany,100.0,1,0,0,13,12,21,3,0
Used,4,0,Germany,100.0,68,0,0,6243,22,50,10,1
Open box,6,1,United States,100.0,10,0,0,4596,7,8,7,0
Used,3,0,Italy,100.0,15,0,0,4955,16,51,7,0
Used,6,1,Germany,83.3,5,0,1,124,13,28,7,0
Used,0,0,United Kingdom,90.0,21,0,2,2774,17,53,1,0
Used,5,1,Australia,100.0,10,0,0,3011,5,12,5,0
Open box,5,1,United Kingdom,100.0,29,0,0,1682,10,20,7,0
Used,5,1,United States,100.0,11,0,0,3019,5,9,5,0
Used,5,1,United States,100.0,12,0,0,2050,11,26,7,0
Used,5,1,Germany,100.0,6,0,0,7139,6,12,7,1
Used,4,0,United States,100.0,2,0,0,6542,4,12,7,1
Used,4,0,United States,100.0,3,0,0,5331,9,19,7,0
Used,4,0,United States,100.0,1,0,0,1494,10,15,3,0
Used,3,0,United States,100.0,2,0,0,1117,11,15,5,0
Used,3,0,United States,100.0,23,0,0,363,9,17,3,0
Used,3,0,United Kingdom,100.0,16,0,0,694,15,27,3,0
Used,4,0,United Kingdom,100.0,25,0,0,4389,4,15,3,0
Used,1,0,Germany,100.0,2,0,0,6739,20,66,7,0
Used,6,1,United Kingdom,100.0,182,0,0,3864,2,3,10,0
For parts or not working,3,0,Italy,100.0,5,0,0,3273,21,98,7,0
Used,2,0,United Kingdom,94.7,41,0,2,6409,9,26,7,0
Used,0,0,United Kingdom,100.0,3,0,0,3144,3,3,7,0
Used,0,0,Australia,100.0,4,0,0,3645,2,3,3,0
Used,6,1,United Kingdom,100.0,45,0,0,5158,8,8,7,0
Used,3,0,United States,100.0,1,0,0,1078,22,47,7,0
Used,6,1,United States,100.0,49,0,0,3620,20,53,7,1
Open box,2,0,Germany,97.6,40,1,1,585,23,69,7,0
Used,6,1,United Kingdom,98.9,1469,10,16,7246,17,36,3,0
Used,1,0,United Kingdom,100.0,3,0,0,2145,10,34,3,0
Used,2,0,United States,100.0,17,0,0,2585,11,17,7,0
Used,4,0,United Kingdom,100.0,4,0,0,515,4,14,7,0
Used,2,0,United Kingdom,87.5,7,0,1,1545,5,10,3,1
Used,4,0,United Kingdom,100.0,3,0,0,2121,9,32,5,0
Used,2,0,United Kingdom,100.0,52,0,0,1192,12,25,1,1
Open box,2,0,United States,100.0,3,0,0,3229,12,25,3,0
New,3,0,United Kingdom,88.0,23,0,3,3658,10,27,7,0
Used,5,1,United Kingdom,100.0,4,1,0,7691,15,30,10,1
Used,5,1,United Kingdom,100.0,9,0,0,2336,17,38,7,0
Used,2,0,United States,93.8,20,0,1,7256,18,49,7,0
Used,5,1,United States,95.0,20,0,1,6524,7,13,5,0
Used,6,1,United States,100.0,4,0,0,6258,11,19,7,0
Used,4,0,United States,100.0,14,0,0,6197,13,20,7,0
Used,1,0,United States,100.0,23,0,0,3053,11,25,7,1
Used,6,1,United States,100.0,325,0,0,3908,26,62,10,1
New,6,1,United Kingdom,100.0,16,0,0,2560,9,17,7,0
Used,6,1,Germany,100.0,9,0,0,3741,9,22,7,0
Used,5,1,United States,100.0,12,0,0,5304,7,12,7,0
Open box,1,0,United Kingdom,100.0,7,0,0,85,15,30,3,0
Used,3,0,United Kingdom,100.0,40,0,0,3239,6,11,3,0
Used,0,0,United States,100.0,1,0,0,4077,23,42,7,0
Used,2,0,United States,99.7,392,0,1,2379,6,15,7,0
Used,5,1,United States,100.0,29,0,0,7199,18,28,3,0
Used,2,0,United States,98.2,58,0,1,655,3,6,5,0
Used,2,0,Germany,100.0,6,0,0,7243,10,27,5,0
Used,3,0,Australia,94.7,20,0,1,4543,8,8,7,0
Open box,1,0,United States,100.0,61,0,0,1746,9,16,1,0
Used,6,1,United States,100.0,2,0,0,1845,10,17,7,0
Used,4,0,United States,75.0,3,0,1,142,7,21,3,0
Used,6,1,United States,99.2,1012,1,8,6721,13,24,3,0
Used,6,1,Germany,100.0,6,0,0,7247,17,29,5,0
Used,3,0,Australia,100.0,1,0,0,2218,12,48,1,0
Used,4,0,United Kingdom,100.0,118,0,0,6411,14,20,5,0
Used,4,0,United Kingdom,100.0,13,0,0,7368,12,18,7,0
Used,2,0,Australia,100.0,68,0,0,5396,8,15,5,0
Used,5,1,United Kingdom,100.0,37,0,0,4210,8,12,7,0
Used,0,0,United Kingdom,100.0,10,0,0,2342,23,38,7,0
New,1,0,United Kingdom,100.0,3,0,0,3475,6,19,7,0
Open box,6,1,United States,100.0,4,1,0,1171,3,5,3,0
Used,6,1,United States,100.0,22,0,0,2631,5,9,3,0
Used,0,0,Australia,100.0,21,0,0,5991,3,3,7,0
Used,1,0,Germany,100.0,2,0,0,6262,23,46,3,0
Open box,1,0,United Kingdom,100.0,6,0,0,35,15,30,3,0
Used,6,1,United Kingdom,95.8,24,0,1,4204,14,32,7,0
Used,4,0,United Kingdom,87.5,15,0,2,2741,3,6,3,0
Used,5,1,Germany,100.0,272,0,0,7282,5,8,3,0
Used,1,0,United States,100.0,1,0,0,4663,12,21,7,0
Used,6,1,Italy,100.0,19,0,0,2440,2,8,7,0
New,5,1,United States,100.0,6,0,0,7832,10,16,7,0
Used,1,0,United States,100.0,8,0,0,2315,3,5,7,0
Open box,3,0,United States,100.0,122,0,0,4561,4,7,7,0
Used,0,0,Australia,100.0,26,0,0,4029,29,86,7,0
Used,0,0,United States,100.0,5,0,0,338,6,7,3,0
New,6,1,United Kingdom,100.0,44,0,0,2402,6,12,7,0
Used,1,0,United States,100.0,30,1,0,181,23,45,1,0
Used,4,0,Italy,100.0,45,0,0,364,21,80,10,0
Used,2,0,Germany,100.0,15,0,0,4307,4,6,7,0
Used,6,1,United Kingdom,100.0,1,0,0,3873,7,23,10,0
Used,1,0,United Kingdom,100.0,5,0,0,1866,8,21,3,0
Used,2,0,Italy,100.0,3,0,0,689,15,26,7,0
Used,5,1,United States,100.0,13,0,0,948,13,22,7,0
Open box,1,0,United States,100.0,4,1,0,1169,4,7,3,0
Used,6,1,United States,96.3,28,0,1,4724,9,27,7,0
Used,4,0,United States,100.0,27,0,0,2870,6,8,1,0
Used,1,0,Germany,100.0,2,1,0,5040,16,31,3,0
Used,6,1,United Kingdom,100.0,73,0,0,5700,22,30,7,0
New,4,0,United States,66.7,2,0,1,186,10,26,7,0
Used,3,0,United Kingdom,100.0,16,0,0,696,15,27,3,0
Used,0,0,United Kingdom,100.0,31,1,0,6011,7,11,1,0
Used,4,0,United States,83.3,5,0,1,5517,8,11,7,0
Used,6,1,United States,100.0,310,0,0,3851,41,86,10,1
Used,6,1,United Kingdom,100.0,24,0,0,4955,12,22,5,0
Used,2,0,United States,100.0,53,0,0,605,3,6,5,0
Used,2,0,United States,100.0,168,0,0,5318,14,25,7,0
Used,4,0,Australia,100.0,2,0,0,7536,11,41,7,0
Used,3,0,United States,100.0,162,0,0,5268,17,29,3,0
Used,5,1,Germany,100.0,6,0,0,7143,6,12,7,1
Used,3,0,Australia,99.5,226,1,1,1050,19,45,10,1
Used,1,0,United Kingdom,100.0,2,0,0,2351,3,3,7,0
New,5,1,United Kingdom,100.0,9,0,0,1810,7,21,7,0
Used,2,0,United States,98.5,80,1,1,8364,9,16,7,0
Used,1,0,United States,100.0,8,0,0,3753,8,16,3,1
Used,5,1,United Kingdom,100.0,13,0,0,901,20,41,7,0
Used,0,0,United States,100.0,1,0,0,5166,4,7,5,1
Used,2,0,United States,66.7,2,0,1,1316,18,26,5,0
Used,4,0,United Kingdom,90.0,21,0,2,2691,3,6,3,0
Used,1,0,United States,100.0,11,0,0,5170,5,10,5,1
For parts or not working,0,0,United Kingdom,99.6,745,3,3,3195,16,52,3,1
Used,0,0,United Kingdom,100.0,23,0,0,5916,12,23,7,0
Used,2,0,United States,100.0,12,0,0,7595,5,10,5,0
Used,1,0,Australia,100.0,1,0,0,4011,11,16,7,0
Used,6,1,United States,95.2,20,1,1,795,30,93,5,0
For parts or not working,0,0,United States,100.0,10215,20,0,1474,15,61,5,1
Used,2,0,United States,100.0,8,0,0,332,18,44,7,0
Used,3,0,United States,100.0,2,0,0,1729,13,30,3,0
Used,0,0,United Kingdom,100.0,3,0,0,3144,5,6,7,0
Used,0,0,Germany,100.0,8,0,0,2512,10,13,7,0
Used,1,0,Germany,100.0,2,1,0,4990,16,31,3,0
New,0,0,United Kingdom,100.0,241,1,0,873,27,39,7,0
Used,3,0,United Kingdom,100.0,133,0,0,6731,11,20,5,0
Open box,6,1,Germany,50.0,1,0,1,2883,12,26,7,0
Used,6,1,Germany,100.0,13,0,0,7005,14,20,7,0
Used,4,0,Germany,100.0,10,0,0,2368,8,28,7,0
Used,0,0,United Kingdom,100.0,1,1,0,1424,14,28,5,0
Used,6,1,United States,100.0,4,0,0,4289,3,12,5,0
Open box,2,0,United Kingdom,100.0,29,0,0,5657,13,28,7,0
Used,4,0,Italy,100.0,1,0,0,1761,7,26,3,0
New,6,1,Germany,100.0,1,0,0,1535,4,13,3,0
Used,5,1,United States,100.0,1,0,0,4409,1,3,5,0
Open box,1,0,United States,100.0,1,0,0,63,17,29,7,0
Used,0,0,Germany,100.0,4,0,0,7262,16,42,1,0
Used,4,0,Australia,100.0,112,0,0,1100,13,26,10,1
Used,1,0,United States,100.0,3,0,0,2287,3,6,5,0
Used,0,0,Australia,100.0,15,0,0,1285,15,29,7,0
Used,6,1,United States,100.0,2,0,0,8163,16,23,7,0
Open box,3,0,United States,100.0,1,0,0,1169,13,26,7,0
Used,0,0,Germany,100.0,2,0,0,5671,13,41,1,0
Used,4,0,United Kingdom,100.0,26,0,0,2306,5,8,1,0
Used,5,1,United Kingdom,100.0,31,0,0,6181,17,28,5,0
Used,3,0,Germany,100.0,19,0,0,7628,10,19,7,0
Used,3,0,United States,100.0,1,1,0,695,11,16,10,0
Used,3,0,United Kingdom,100.0,39,0,0,3243,6,11,3,0
Open box,0,0,Germany,100.0,2,0,0,505,19,70,5,0
Used,3,0,United States,100.0,1,0,0,4077,14,30,3,0
Used,2,0,United Kingdom,100.0,7,0,0,1351,5,12,7,0
Used,5,1,United States,100.0,13,0,0,4651,15,27,7,0
Used,0,0,United States,97.3,37,0,2,2026,15,41,3,1
Used,3,0,United States,100.0,32,0,0,3530,15,30,7,0
Used,1,0,United Kingdom,100.0,6,0,0,3176,8,19,1,0
New,2,0,Italy,96.0,32,1,1,6727,7,12,10,0
Open box,2,0,Germany,100.0,1,0,0,2186,1,3,7,0
Used,6,1,United Kingdom,100.0,6,0,0,3169,13,21,1,0
New,2,0,United Kingdom,88.9,8,0,1,1699,6,12,5,0
Used,0,0,United Kingdom,95.5,66,0,3,1459,9,9,1,0
Open box,4,0,United Kingdom,100.0,9,0,0,6053,8,17,7,0
Open box,5,1,United States,97.7,78,0,1,1003,6,8,1,0
Used,3,0,United Kingdom,100.0,14,0,0,882,16,44,1,0
Used,0,0,Australia,100.0,21,0,0,5997,3,3,7,0
Used,6,1,Germany,100.0,36,0,0,1660,7,9,7,0
Used,4,0,United States,100.0,1,0,0,5248,9,18,7,0
Used,1,0,United Kingdom,100.0,13,0,0,5842,7,19,7,0
New,6,1,United Kingdom,88.9,8,0,1,1699,5,15,5,0
Used,3,0,United States,100.0,1,0,0,4029,14,30,3,0
Used,1,0,United States,100.0,5,0,0,7732,9,20,1,0
Used,4,0,United States,85.7,4,0,1,3355,6,23,3,0
Used,0,0,United States,100.0,5,0,0,5369,15,46,5,0
New,3,0,United States,100.0,3,0,0,2718,16,28,3,0
Used,5,1,United States,94.7,18,0,1,6517,7,13,5,0
Used,1,0,United States,100.0,168,0,0,5318,12,29,3,0
Used,6,1,Germany,100.0,14,0,0,7866,8,9,7,0
New,6,1,United States,100.0,4,0,0,3757,15,21,3,0
Used,5,1,United Kingdom,100.0,10,0,0,927,20,41,7,0
Open box,5,1,United States,100.0,14,0,0,187,7,11,7,0
Used,1,0,United Kingdom,100.0,6,0,0,3169,8,19,1,0
Used,0,0,United States,100.0,2,0,0,266,9,15,7,0
Used,6,1,United States,99.3,3383,29,22,3100,10,22,5,0
Used,2,0,United States,100.0,11,0,0,7897,4,9,5,1
Used,1,0,United States,100.0,5,0,0,2324,26,40,7,0
Used,0,0,United States,100.0,67,1,0,3522,3,3,3,0
Open box,3,0,United States,100.0,4,0,0,4036,19,34,7,0
Used,6,1,United States,100.0,2,0,0,7624,10,18,5,0
Used,6,1,Australia,100.0,3,0,0,6701,15,21,7,0
Used,3,0,United States,100.0,4,0,0,4036,16,25,7,0
Used,5,1,United States,100.0,3,0,0,3465,6,15,7,0
New,6,1,United Kingdom,100.0,35,0,0,2352,6,12,7,0
Used,1,0,Germany,100.0,47,0,0,5892,14,34,7,0
Used,2,0,Germany,100.0,14,0,0,4311,4,6,7,0
Used,4,0,United Kingdom,100.0,5,0,0,2188,16,55,7,0
Used,1,0,United States,100.0,17,0,0,765,7,11,7,0
New,3,0,Germany,89.5,20,0,2,6499,11,50,3,0
Used,1,0,United States,100.0,168,0,0,5318,16,26,3,0
Used,4,0,United States,100.0,3,0,0,5324,9,21,7,0
Used,6,1,Australia,100.0,2,0,0,7529,11,82,7,0
Used,2,0,United States,100.0,54,0,0,607,3,6,5,0
Used,1,0,United Kingdom,100.0,12,0,0,880,13,39,5,0
Used,5,1,United States,100.0,38,0,0,8328,16,34,7,0
Used,1,0,United States,100.0,11,0,0,7092,9,18,7,0
Used,0,0,United Kingdom,100.0,80,1,0,1005,15,29,7,0
Used,4,0,United States,100.0,11,0,0,4251,6,10,5,0
Used,3,0,United States,100.0,11,0,0,8007,9,19,10,0
Used,6,1,United States,100.0,3,0,0,8181,16,23,7,0
Used,1,0,Australia,99.5,217,0,1,2370,22,75,7,0
New,3,0,Germany,100.0,1,0,0,1535,2,7,3,0
Used,3,0,United States,100.0,1,1,0,702,11,16,10,0
Used,6,1,Australia,100.0,10,0,0,3011,15,32,1,0
Used,0,0,United States,100.0,37,0,0,2023,19,36,5,1
Used,6,1,Australia,98.1,59,2,1,3574,3,7,5,0
Used,0,0,United States,100.0,2,0,0,8159,11,16,7,0
Open box,3,0,United States,100.0,118,0,0,4585,4,7,7,0
Used,1,0,Germany,100.0,10,0,0,5733,10,17,3,0
Used,5,1,Italy,97.7,45,1,1,238,12,41,3,1
Used,3,0,United Kingdom,100.0,41,0,0,3237,6,11,3,0
Used,0,0,Australia,100.0,21,0,0,5993,3,3,7,0
Used,5,1,United States,100.0,3,0,0,4467,14,20,7,0
Used,3,0,United Kingdom,100.0,39,0,0,6031,5,5,7,0
New,4,0,Germany,100.0,342,1,0,97,9,15,7,0
Used,6,1,United Kingdom,100.0,1,0,0,3825,7,23,10,0
Used,0,0,United States,100.0,22,0,0,7551,13,25,7,0
New,4,0,Germany,100.0,266,0,0,73,9,15,7,0
Used,3,0,United Kingdom,100.0,15,0,0,700,15,27,3,0
Used,2,0,United Kingdom,94.7,41,0,2,6385,9,26,7,0
Used,0,0,United States,100.0,43,0,0,8551,15,52,7,0
Used,1,0,Germany,100.0,56,0,0,5842,14,34,7,0
New,3,0,Germany,100.0,1,0,0,1529,2,7,3,0
Used,5,1,United States,100.0,12,0,0,4655,12,27,7,0
Used,6,1,Australia,100.0,51,2,0,3524,3,7,5,0
Used,3,0,United States,100.0,6,0,0,1993,4,5,7,0
Used,4,0,United Kingdom,100.0,16,0,0,2560,11,25,3,0
Used,0,0,Australia,100.0,56,0,0,2737,13,16,7,0
Used,1,0,Australia,100.0,5,0,0,3264,7,16,5,0
Used,6,1,United Kingdom,95.8,24,0,1,4204,8,22,7,0
Used,4,0,United States,100.0,27,0,0,2872,6,8,1,0
New,5,1,Germany,100.0,43,0,0,2537,14,41,1,0
Used,1,0,United States,100.0,16,0,0,715,7,11,7,0
Used,1,0,United States,100.0,16,0,0,5393,3,7,5,0
Used,0,0,United States,100.0,1,0,0,5164,4,7,5,1
Used,0,0,United States,100.0,37,0,0,5596,8,17,5,0
Used,0,0,Australia,97.2,37,0,1,5941,7,14,7,0
Used,2,0,United States,100.0,6,0,0,1967,3,3,7,0
Used,3,0,Australia,100.0,10,0,0,3658,12,28,3,0
Used,6,1,United Kingdom,100.0,25,0,0,2302,7,18,1,0
For parts or not working,1,0,United States,100.0,37,0,0,7294,8,16,7,0
Used,6,1,United States,100.0,1,0,0,6616,10,18,10,0
Used,4,0,Italy,100.0,45,0,0,414,21,80,10,0
For parts or not working,3,0,United States,100.0,40,0,0,4830,14,31,7,0
Used,4,0,Germany,100.0,1,0,0,134,11,19,7,0
Used,6,1,Germany,100.0,1,0,0,2776,4,6,3,0
Open box,3,0,Germany,100.0,37,0,0,6491,13,23,10,0
Used,5,1,Australia,100.0,42,0,0,2030,5,7,7,1
Used,5,1,United States,100.0,2,0,0,4681,19,24,7,0
Used,5,1,United States,100.0,9,0,0,441,14,42,7,0
Used,5,1,United Kingdom,100.0,25,0,0,2302,9,20,1,0
Used,5,1,Italy,100.0,1,0,0,19,19,55,5,0
Used,5,1,United States,100.0,13,0,0,4649,15,27,7,0
New,6,1,Germany,97.4,40,0,1,2511,19,64,1,0
Used,1,0,United Kingdom,98.9,98,0,1,5701,3,4,1,0
Used,2,0,United Kingdom,100.0,18,0,0,2656,15,27,5,0
Used,5,1,United States,100.0,23,0,0,7527,12,25,5,0
Used,5,1,Germany,100.0,5,0,0,3928,9,15,5,0
New,5,1,Germany,89.5,20,0,2,6499,15,52,1,0
New,2,0,Italy,100.0,3,0,0,6482,13,35,5,0
Used,5,1,United States,93.8,15,0,1,4463,13,23,7,0
Used,6,1,Australia,100.0,4,0,0,5674,8,14,5,0
Used,1,0,United Kingdom,100.0,8,0,0,2665,9,11,7,0
Used,4,0,United Kingdom,100.0,98,0,0,1210,7,15,5,0
Used,2,0,Italy,97.7,45,1,1,240,10,47,3,1
Used,5,1,United States,100.0,49,0,0,3620,21,66,7,1
Used,1,0,United States,90.0,10,0,1,3144,7,17,3,0
New,1,0,Italy,100.0,26,0,0,4299,13,28,5,0
Used,1,0,United Kingdom,100.0,7,0,0,194,10,36,3,0
Used,1,0,United Kingdom,100.0,3,0,0,5588,9,12,7,0
Used,3,0,United States,100.0,1,0,0,3728,10,73,7,0
Used,6,1,Germany,100.0,13,0,0,5233,20,70,7,1
Used,6,1,United States,93.8,15,0,1,4439,11,15,7,0
Used,6,1,United States,75.0,3,0,1,144,9,21,3,0
Used,6,1,United States,100.0,42,0,0,8444,5,9,5,0
Used,0,0,United Kingdom,100.0,1,1,0,1374,14,28,5,0
Used,0,0,United States,100.0,7,0,0,1930,6,20,3,0
Used,4,0,United Kingdom,100.0,1,1,0,1424,15,34,5,0
Used,2,0,United States,100.0,19,0,0,4927,6,10,10,0
For parts or not working,1,0,United States,100.0,39,0,0,4801,13,49,7,0
Used,2,0,United Kingdom,100.0,11,0,0,222,11,23,7,0
Open box,2,0,United States,80.0,4,0,4,6596,8,9,3,0
Used,1,0,Australia,100.0,5,0,0,3282,7,16,5,0
Used,2,0,United States,100.0,19,0,0,4931,6,10,10,0
Used,0,0,United States,100.0,11,0,0,7114,13,20,7,0
Used,0,0,United Kingdom,90.0,21,0,2,2781,17,53,1,0
For parts or not working,3,0,Italy,100.0,5,0,0,3266,21,98,7,0
Used,2,0,United Kingdom,94.1,37,0,2,6433,9,26,7,0
Used,6,1,United Kingdom,100.0,18,0,0,1130,18,59,7,0
New,4,0,United States,66.7,2,0,1,180,10,26,7,0
Used,6,1,Germany,100.0,7,0,0,8195,13,38,7,0
Used,6,1,United Kingdom,100.0,95,0,0,1206,6,9,7,0
Used,6,1,Germany,100.0,91,0,0,4778,15,83,5,0
Used,0,0,United Kingdom,100.0,5,0,0,7833,11,21,7,0
Used,4,0,United States,100.0,5,0,0,2196,11,21,10,0
Used,6,1,Germany,100.0,31,0,0,5424,22,83,7,0
Used,4,0,Australia,100.0,7,0,0,6052,5,9,7,0
Used,6,1,United Kingdom,100.0,26,0,0,2306,7,12,1,0
